"Ω√¡°"	πŒ∞£
"1982 1/4"	33895.4
"1982 2/4"	34736.7
"1982 3/4"	35476.7
"1982 4/4"	35854.9
"1983 1/4"	36965.2
"1983 2/4"	37881.2
"1983 3/4"	38680.1
"1983 4/4"	39391.2
"1984 1/4"	40047.7
"1984 2/4"	40803.8
"1984 3/4"	41833.7
"1984 4/4"	42014.7
"1985 1/4"	42683.1
"1985 2/4"	43705.5
"1985 3/4"	44810.9
"1985 4/4"	45531.6
"1986 1/4"	46475.9
"1986 2/4"	47668.1
"1986 3/4"	49008.9
"1986 4/4"	50083.4
"1987 1/4"	50622.8
"1987 2/4"	52067.4
"1987 3/4"	52862.4
"1987 4/4"	54286.4
"1988 1/4"	55198.1
"1988 2/4"	56608.6
"1988 3/4"	58165.3
"1988 4/4"	59553.6
"1989 1/4"	61264.0
"1989 2/4"	62744.2
"1989 3/4"	64326.6
"1989 4/4"	66018.2
"1990 1/4"	67730.3
"1990 2/4"	69240.2
"1990 3/4"	70678.9
"1990 4/4"	72274.7
"1991 1/4"	73458.2
"1991 2/4"	75278.3
"1991 3/4"	77555.1
"1991 4/4"	78987.8
"1992 1/4"	79845.0
"1992 2/4"	81123.8
"1992 3/4"	81954.2
"1992 4/4"	83637.2
"1993 1/4"	85330.5
"1993 2/4"	86209.4
"1993 3/4"	87817.1
"1993 4/4"	89891.4
"1994 1/4"	92581.3
"1994 2/4"	94032.3
"1994 3/4"	95998.1
"1994 4/4"	98782.7
"1995 1/4"	102262.2
"1995 2/4"	104574.6
"1995 3/4"	106595.7
"1995 4/4"	108864.4
"1996 1/4"	111030.3
"1996 2/4"	113090.9
"1996 3/4"	113584.9
"1996 4/4"	117292.0
"1997 1/4"	116649.3
"1997 2/4"	118803.5
"1997 3/4"	119988.4
"1997 4/4"	118765.7
"1998 1/4"	102403.1
"1998 2/4"	102724.0
"1998 3/4"	105068.0
"1998 4/4"	107475.5
"1999 1/4"	111021.5
"1999 2/4"	114580.4
"1999 3/4"	119130.3
"1999 4/4"	123256.5
"2000 1/4"	125902.0
"2000 2/4"	127794.7
"2000 3/4"	128507.2
"2000 4/4"	129402.7
"2001 1/4"	129928.1
"2001 2/4"	134655.2
"2001 3/4"	136571.9
"2001 4/4"	140089.0
"2002 1/4"	144833.9
"2002 2/4"	147723.7
"2002 3/4"	148684.4
"2002 4/4"	148591.0
"2003 1/4"	147306.2
"2003 2/4"	146485.2
"2003 3/4"	146932.1
"2003 4/4"	146876.9
"2004 1/4"	146674.1
"2004 2/4"	147119.6
"2004 3/4"	147287.7
"2004 4/4"	148866.0
"2005 1/4"	150300.6
"2005 2/4"	153852.3
"2005 3/4"	155761.9
"2005 4/4"	157502.0
"2006 1/4"	158999.8
"2006 2/4"	160993.3
"2006 3/4"	162747.1
"2006 4/4"	165064.2
"2007 1/4"	167094.4
"2007 2/4"	169856.8
"2007 3/4"	171758.3
"2007 4/4"	173322.8
"2008 1/4"	175110.6
"2008 2/4"	174925.0
"2008 3/4"	174821.8
"2008 4/4"	168245.8
"2009 1/4"	167800.5
"2009 2/4"	173796.4
"2009 3/4"	175673.3
"2009 4/4"	177345.0
"2010 1/4"	178889.4
"2010 2/4"	180458.3
"2010 3/4"	182178.8
"2010 4/4"	183592.0
"2011 1/4"	185763.9
"2011 2/4"	187106.0
"2011 3/4"	186665.3
"2011 4/4"	186955.5
"2012 1/4"	188157.8
"2012 2/4"	188779.9
"2012 3/4"	190696.0
"2012 4/4"	191205.7
"2013 1/4"	190566.4
"2013 2/4"	192348.7
"2013 3/4"	193849.9
"2013 4/4"	195248.8
"2014 1/4"	196239.0
"2014 2/4"	196203.9
"2014 3/4"	197086.4
"2014 4/4"	197880.4
"2015 1/4"	199433.4
"2015 2/4"	199764.8
"2015 3/4"	200969.6
"2015 4/4"	204644.5
"2016 1/4"	204494.6
"2016 2/4"	206182.8
"2016 3/4"	207268.9
"2016 4/4"	207729.9
"2017 1/4"	208940.1
"2017 2/4"	211453.9
"2017 3/4"	213522.1
"2017 4/4"	214673.3
"2018 1/4"	217545.5
"2018 2/4"	218211.9
"2018 3/4"	219355.0
"2018 4/4"	220465.6
"2019 1/4"	220595.1
"2019 2/4"	222066.1
"2019 3/4"	222920.6
"2019 4/4"	224585.8
"2020 1/4"	210078.6
"2020 2/4"	213186.3
"2020 3/4"	213222.7
"2020 4/4"	209933.1
