"Ω√¡°"	πŒ∞£
"1982 1/4"	33938.4
"1982 2/4"	33681.7
"1982 3/4"	34259.8
"1982 4/4"	38083.8
"1983 1/4"	36814.5
"1983 2/4"	36851.0
"1983 3/4"	37559.6
"1983 4/4"	41692.6
"1984 1/4"	39735.0
"1984 2/4"	39815.8
"1984 3/4"	40820.8
"1984 4/4"	44328.3
"1985 1/4"	42258.9
"1985 2/4"	42763.8
"1985 3/4"	43786.4
"1985 4/4"	47922.0
"1986 1/4"	45987.1
"1986 2/4"	46774.0
"1986 3/4"	47897.1
"1986 4/4"	52578.2
"1987 1/4"	50179.7
"1987 2/4"	51223.7
"1987 3/4"	51593.9
"1987 4/4"	56841.6
"1988 1/4"	54892.3
"1988 2/4"	55794.7
"1988 3/4"	56683.0
"1988 4/4"	62155.7
"1989 1/4"	61185.3
"1989 2/4"	61898.2
"1989 3/4"	62571.0
"1989 4/4"	68698.5
"1990 1/4"	67957.8
"1990 2/4"	68355.2
"1990 3/4"	68610.8
"1990 4/4"	75000.3
"1991 1/4"	74121.9
"1991 2/4"	74321.3
"1991 3/4"	75117.2
"1991 4/4"	81719.1
"1992 1/4"	81089.0
"1992 2/4"	80056.4
"1992 3/4"	79178.8
"1992 4/4"	86236.1
"1993 1/4"	87239.9
"1993 2/4"	84909.7
"1993 3/4"	84716.1
"1993 4/4"	92382.7
"1994 1/4"	95058.1
"1994 2/4"	92412.4
"1994 3/4"	92553.7
"1994 4/4"	101370.2
"1995 1/4"	105104.3
"1995 2/4"	102560.7
"1995 3/4"	103064.2
"1995 4/4"	111567.7
"1996 1/4"	114000.5
"1996 2/4"	110633.5
"1996 3/4"	110325.6
"1996 4/4"	120038.4
"1997 1/4"	119698.6
"1997 2/4"	115951.0
"1997 3/4"	117335.2
"1997 4/4"	121222.0
"1998 1/4"	105083.2
"1998 2/4"	99977.3
"1998 3/4"	103112.2
"1998 4/4"	109497.9
"1999 1/4"	113804.7
"1999 2/4"	111499.7
"1999 3/4"	117174.7
"1999 4/4"	125509.5
"2000 1/4"	128813.5
"2000 2/4"	124555.5
"2000 3/4"	126398.2
"2000 4/4"	131839.4
"2001 1/4"	132528.3
"2001 2/4"	131537.0
"2001 3/4"	134384.5
"2001 4/4"	142794.3
"2002 1/4"	147309.3
"2002 2/4"	144607.3
"2002 3/4"	146327.1
"2002 4/4"	151589.3
"2003 1/4"	149370.0
"2003 2/4"	143647.9
"2003 3/4"	144655.1
"2003 4/4"	149927.4
"2004 1/4"	148342.2
"2004 2/4"	144588.4
"2004 3/4"	145000.5
"2004 4/4"	152016.2
"2005 1/4"	151767.0
"2005 2/4"	151482.1
"2005 3/4"	153422.1
"2005 4/4"	160745.5
"2006 1/4"	160479.6
"2006 2/4"	158650.2
"2006 3/4"	160353.2
"2006 4/4"	168321.2
"2007 1/4"	168685.7
"2007 2/4"	167342.4
"2007 3/4"	169466.1
"2007 4/4"	176538.2
"2008 1/4"	176941.4
"2008 2/4"	172167.0
"2008 3/4"	172789.9
"2008 4/4"	171205.0
"2009 1/4"	169626.2
"2009 2/4"	170815.3
"2009 3/4"	173945.8
"2009 4/4"	180227.8
"2010 1/4"	180935.5
"2010 2/4"	177018.6
"2010 3/4"	180649.9
"2010 4/4"	186514.5
"2011 1/4"	187921.3
"2011 2/4"	183227.7
"2011 3/4"	185331.3
"2011 4/4"	190010.4
"2012 1/4"	190394.7
"2012 2/4"	184410.3
"2012 3/4"	189539.3
"2012 4/4"	194495.1
"2013 1/4"	192822.2
"2013 2/4"	187576.8
"2013 3/4"	192855.2
"2013 4/4"	198759.5
"2014 1/4"	198603.5
"2014 2/4"	191071.7
"2014 3/4"	196261.8
"2014 4/4"	201472.6
"2015 1/4"	201742.9
"2015 2/4"	194514.9
"2015 3/4"	200252.1
"2015 4/4"	208302.4
"2016 1/4"	206733.2
"2016 2/4"	200862.7
"2016 3/4"	206719.3
"2016 4/4"	211361.0
"2017 1/4"	211037.3
"2017 2/4"	206191.8
"2017 3/4"	213014.1
"2017 4/4"	218346.0
"2018 1/4"	219621.4
"2018 2/4"	212894.3
"2018 3/4"	218810.1
"2018 4/4"	224252.1
"2019 1/4"	222635.4
"2019 2/4"	216718.5
"2019 3/4"	222306.9
"2019 4/4"	228506.9
"2020 1/4"	211991.9
"2020 2/4"	208083.8
"2020 3/4"	212607.8
"2020 4/4"	213628.4
